geometry,name,iso_a3,geometry_vertex_count,SOVEREIGNT,SOV_A3,TYPE,ADMIN,ADM0_A3,GEOUNIT,GU_A3,SUBUNIT,SU_A3,NAME_FORMA,TERR_,NAME_SORT,MAP_COLOR,POP_EST,GDP_MD_EST,ISO_A2,ISO_N3,Use per 100 people (aged 15-64),Typical retail price (US$ per gram),Typical wholesale price (US$ per kg),"Drug trafficking (rate per 100,000 population)"
"<Polygon><outerBoundaryIs><LinearRing><coordinates>61.2108170917,35.6500723333,0 62.230651483,35.2706639674,0 62.9846623066,35.4040408392,0 63.1935384459,35.8571656357,0 63.9828959492,36.0079574651,0 64.5464791197,36.3120732692,0 64.7461051777,37.1118177353,0 65.5889477884,37.3052167832,0 65.7456307311,37.6611640488,0 66.2173848815,37.3937901881,0 66.5186068053,37.3627843288,0 67.0757820983,37.3561439072,0 67.8299996276,37.1449940049,0 68.1355623717,37.0231151393,0 68.8594458352,37.3443358424,0 69.1962728209,37.1511435003,0 69.5187854349,37.6089966904,0 70.1165784036,37.5882227646,0 70.2705741718,37.7351646999,0 70.3763041523,38.138395901,0 70.8068205097,38.4862816432,0 71.348131138,38.2589053411,0 71.2394039244,37.9532650823,0 71.5419177591,37.9057744411,0 71.4486934752,37.0656448431,0 71.8446382995,36.7381712916,0 72.193040806,36.9482876653,0 72.6368896829,37.0475580918,0 73.2600557799,37.4952568629,0 73.9486959166,37.4215662705,0 74.9800024759,37.4199901393,0 75.1580277851,37.1330309108,0 74.5758927754,37.0208413763,0 74.0675517109,36.8361756455,0 72.9200248554,36.7200070257,0 71.8462919453,36.5099423284,0 71.2623482604,36.0743875189,0 71.4987679381,35.6505632594,0 71.6130762064,35.1532034368,0 71.1150187519,34.7331257187,0 71.1567733092,34.3489114446,0 70.881803013,33.9888559026,0 69.9305432474,34.0201201442,0 70.3235941914,33.3585326198,0 69.6871472513,33.105498969,0 69.2625220071,32.5019440781,0 69.3177641132,31.9014122584,0 68.9266768737,31.6201891139,0 68.5569320006,31.7133100449,0 67.7926892434,31.5829304062,0 67.6833935891,31.3031542018,0 66.9388912291,31.3049112005,0 66.381457554,30.7388992376,0 66.3464726093,29.887943427,0 65.0468620136,29.472180691,0 64.3504187356,29.5600306259,0 64.1480021503,29.3408192001,0 63.550260858,29.4683307968,0 62.5498568053,29.318572496,0 60.8742484882,29.829239,0 61.7812215514,30.7358503281,0 61.6993144062,31.3795061305,0 60.9419446145,31.5480746526,0 60.8636548196,32.1829196233,0 60.5360779153,32.9812688258,0 60.9637003925,33.5288323024,0 60.5284298033,33.6764460312,0 60.8031933938,34.4041018743,0 61.2108170917,35.6500723333,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",Afghanistan,AFG,69,Afghanistan,AFG,Sovereigncountry,Afghanistan,AFG,Afghanistan,AFG,Afghanistan,AFG,Afghanistan,,Afghanistan,7,28400000,22270,AF,4,4.28,0,56,
"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>16.3265283546,-5.87747039147,0 16.5731799659,-6.62264454512,0 16.8601908708,-7.22229786543,0 17.0899959652,-7.54568897871,0 17.472970005,-8.06855112064,0 18.1342216326,-7.9876775041,0 18.4641756528,-7.84701425541,0 19.0167517432,-7.98824594486,0 19.1666133969,-7.738183689,0 19.4175024757,-7.15542856204,0 20.037723016,-7.11636117923,0 20.0916215349,-6.94309010176,0 20.6018229509,-6.9393177222,0 20.5147481625,-7.29960580814,0 21.7281107927,-7.29087249108,0 21.7464559262,-7.92008473067,0 21.9491308937,-8.30590097416,0 21.8018013852,-8.90870655684,0 21.875181919,-9.52370777755,0 22.2087532895,-9.89479623784,0 22.1552681821,-11.0848011207,0 22.4027982927,-10.9930754533,0 22.8373454119,-11.0176217587,0 23.4567908058,-10.8678634579,0 23.9122152036,-10.9268262671,0 24.0178935076,-11.2372982723,0 23.9041536801,-11.7222815894,0 24.0799052263,-12.1912968889,0 23.930922072,-12.5658476701,0 24.0161365089,-12.9110462378,0 21.9338863461,-12.8984371884,0 21.887842645,-16.0803101539,0 22.5624784685,-16.8984514299,0 23.2150484555,-17.5231161435,0 21.377176141,-17.9306364885,0 18.9561869646,-17.7890947405,0 18.2633093604,-17.3099508603,0 14.2097066586,-17.3531006812,0 14.0585014177,-17.4233806291,0 13.4623620948,-16.9712118466,0 12.8140812517,-16.9413428687,0 12.21546146,-17.1116683896,0 11.7341988461,-17.3018893368,0 11.6400960629,-16.6731421851,0 11.778537225,-15.7938160133,0 12.1235807634,-14.8783163388,0 12.1756189307,-14.4491435686,0 12.5000952491,-13.5476998837,0 12.7384786312,-13.1379057756,0 13.3129138526,-12.4836304664,0 13.6337211443,-12.0386447079,0 13.7387276547,-11.297863051,0 13.6863794288,-10.7310759416,0 13.3873279151,-10.373578383,0 13.1209875831,-9.76689706791,0 12.8753695004,-9.16693368901,0 12.9290613135,-8.95909107833,0 13.2364327328,-8.56262948978,0 12.9330403988,-7.59653858809,0 12.7282983741,-6.92712208418,0 12.2273470394,-6.29444752363,0 12.3224316749,-6.10009246178,0 12.7351713396,-5.96568206139,0 13.024869419,-5.98438892988,0 13.375597365,-5.8642412248,0 16.3265283546,-5.87747039147,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>12.4366882667,-5.68430388756,0 12.1823368669,-5.78993051516,0 11.9149630062,-5.03798674888,0 12.3186076189,-4.60623015709,0 12.6207597185,-4.43802336998,0 12.9955172055,-4.78110320396,0 12.6316117693,-4.99127125409,0 12.4680041846,-5.24836150474,0 12.4366882667,-5.68430388756,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",Angola,AGO,75,Angola,AGO,Sovereigncountry,Angola,AGO,Angola,AGO,Angola,AGO,Angola,,Angola,1,12799293,110300,AO,24,0,,,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>20.5902474301,41.8554041611,0 20.4631750831,41.5150890163,0 20.605181919,41.0862263047,0 21.0200403175,40.8427269557,0 20.9999898617,40.580003974,0 20.6749967791,40.4349999049,0 20.6150004412,40.1100068223,0 20.1500159034,39.624997667,0 19.9800004412,39.6949933945,0 19.9600016619,39.915005805,0 19.4060819841,40.2507734238,0 19.3190588722,40.7272301296,0 19.403549839,41.4095657415,0 19.5400272966,41.7199860703,0 19.3717688331,41.8775475124,0 19.3044861183,42.1957451442,0 19.7380513852,42.6882473822,0 19.8016133969,42.5000934922,0 20.0707,42.58863,0 20.2837545102,42.3202595078,0 20.52295,42.21787,0 20.5902474301,41.8554041611,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",Albania,ALB,22,Albania,ALB,Sovereigncountry,Albania,ALB,Albania,ALB,Albania,ALB,Albania,,Albania,6,3639453,21810,AL,8,1.8,1.4,418.8,22.3
"<Polygon><outerBoundaryIs><LinearRing><coordinates>51.5795186705,24.245497138,0 51.7574406268,24.2940729843,0 51.7943892759,24.0198261581,0 52.5770805194,24.1774392766,0 53.404006789,24.1513168401,0 54.0080009296,24.1217579208,0 54.693023716,24.7978923609,0 55.4390246926,25.4391452092,0 56.0708207538,26.055464179,0 56.2610417011,25.7146064316,0 56.3968473651,24.924732164,0 55.8862325377,24.9208305934,0 55.8041186868,24.2696041936,0 55.9812138202,24.1305429143,0 55.5286316262,23.9336040309,0 55.5258410989,23.5248692896,0 55.2344893736,23.1109927434,0 55.2083410989,22.708329983,0 55.0068030129,22.4969475367,0 52.0007332701,23.0011544866,0 51.6177075539,24.0142192652,0 51.5795186705,24.245497138,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",United Arab Emirates,ARE,22,UnitedArabEmirates,ARE,Sovereigncountry,UnitedArabEmirates,ARE,United Arab Emirates,ARE,UnitedArabEmirates,ARE,,,UnitedArabEmirates,3,4798491,184300,AE,784,5.35,0,0,1.5
"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-65.5,-55.2,0 -66.45,-55.25,0 -66.95992,-54.89681,0 -67.56244,-54.87001,0 -68.63335,-54.8695,0 -68.6340102276,-52.6363704589,0 -68.25,-53.1,0 -67.75,-53.85,0 -66.45,-54.45,0 -65.05,-54.7,0 -65.5,-55.2,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-64.9648921373,-22.0758615048,0 -64.3770210435,-22.7980913225,0 -63.9868381415,-21.993644301,0 -62.8464684719,-22.0349854469,0 -62.6850571357,-22.2490292294,0 -60.846564704,-23.880712579,0 -60.0289660305,-24.0327963193,0 -58.8071284654,-24.7714592425,0 -57.7772171698,-25.1623397763,0 -57.6336600409,-25.6036565081,0 -58.6181735907,-27.1237187639,0 -57.609759691,-27.3958985328,0 -56.4867016262,-27.5484990374,0 -55.6958455064,-27.3878370094,0 -54.7887949286,-26.6217855771,0 -54.6252906968,-25.7392554664,0 -54.130049608,-25.5476392555,0 -53.628348965,-26.1248650042,0 -53.6487353176,-26.9234725888,0 -54.4907252671,-27.4747567685,0 -55.162286343,-27.8819153785,0 -56.2908996242,-28.852760512,0 -57.6251334296,-30.2162948545,0 -57.8749373033,-31.0165560849,0 -58.142440355,-32.0445036761,0 -58.1326476711,-33.0405669085,0 -58.3496111721,-33.2631889788,0 -58.4270741441,-33.9094544411,0 -58.495442064,-34.4314897601,0 -57.2258296373,-35.2880266253,0 -57.3623587714,-35.9773902321,0 -56.7374873521,-36.4131259092,0 -56.788285285,-36.9015715472,0 -57.7491568671,-38.1838705381,0 -59.2318570624,-38.7202202288,0 -61.2374452379,-38.9284245745,0 -62.3359569973,-38.827707208,0 -62.125763109,-39.4241049131,0 -62.3305309719,-40.1725863584,0 -62.1459944322,-40.6768966611,0 -62.7458027818,-41.0287614886,0 -63.7704947577,-41.1667892393,0 -64.7320898098,-40.8026770973,0 -65.1180352444,-41.064314874,0 -64.9785605536,-42.0580009906,0 -64.3034079657,-42.3590162087,0 -63.755947842,-42.0436866188,0 -63.4580590481,-42.5631381162,0 -64.3788038805,-42.873558445,0 -65.1818039618,-43.4953809548,0 -65.3288234117,-44.5013660622,0 -65.5652689277,-45.0367855772,0 -66.5099657864,-45.0396277809,0 -67.2937939114,-45.5518962543,0 -67.5805464342,-46.3017729632,0 -66.597066413,-47.033924656,0 -65.6410265774,-47.2361345355,0 -65.9850882636,-48.1332890765,0 -67.1661789618,-48.697337335,0 -67.8160876126,-49.869668878,0 -68.7287450833,-50.2642184385,0 -69.1385391913,-50.7325102679,0 -68.8155614895,-51.7711040116,0 -68.1499948798,-52.3499834061,0 -68.5715453762,-52.2994438553,0 -69.4983621894,-52.1427609126,0 -71.9148038398,-52.0090223059,0 -72.3294038561,-51.4259563129,0 -72.3099735175,-50.6770097797,0 -72.975746833,-50.7414502907,0 -73.3280509101,-50.3787850889,0 -73.4154357571,-49.3184363747,0 -72.6482474433,-48.8786182595,0 -72.3311608548,-48.2442383767,0 -72.4473553128,-47.7385328103,0 -71.9172584703,-46.8848381488,0 -71.5520094469,-45.5607329242,0 -71.6593155585,-44.9736886533,0 -71.2227788968,-44.7842428526,0 -71.329800788,-44.4075216612,0 -71.7936226061,-44.2071721332,0 -71.4640561591,-43.7876111794,0 -71.915423957,-43.4085645485,0 -72.1488980781,-42.2548881976,0 -71.7468037584,-42.0513864072,0 -71.9157340156,-40.8323393695,0 -71.6807612779,-39.8081641579,0 -71.4135166083,-38.9160222308,0 -70.8146642727,-38.5529952939,0 -71.1186250475,-37.5768274879,0 -71.1218806627,-36.6581238747,0 -70.3647692532,-36.0050887998,0 -70.3880494859,-35.1696875954,0 -69.8173091295,-34.1935714658,0 -69.8147769843,-33.2738860003,0 -70.0743993802,-33.0912098121,0 -70.5350689358,-31.3650102679,0 -69.9190083483,-30.3363392067,0 -70.0135503811,-29.3679228655,0 -69.6561303372,-28.4591411272,0 -69.0012349107,-27.5212138811,0 -68.2955415514,-26.8993396949,0 -68.5947997708,-26.5069088681,0 -68.3860011461,-26.1850163714,0 -68.4176529609,-24.5185547828,0 -67.3284429592,-24.0253032366,0 -66.9852339342,-22.9863485654,0 -67.1066735501,-22.7359245745,0 -66.2733394029,-21.8323104794,0 -64.9648921373,-22.0758615048,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",Argentina,ARG,121,Argentina,ARG,Sovereigncountry,Argentina,ARG,Argentina,ARG,Argentina,ARG,ArgentineRepublic,,Argentina,13,40913584,573900,AR,32,3.2,1.3,400,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>43.5827458026,41.0921432562,0 44.9724800962,41.2481285671,0 45.179495884,40.9853539089,0 45.56035119,40.8122895371,0 45.3591748391,40.5615038112,0 45.8919071796,40.2184756536,0 45.6100122414,39.8999938014,0 46.0345341327,39.6280207383,0 46.4834989764,39.4641547715,0 46.5057198423,38.7706053737,0 46.1436230812,38.7412014837,0 45.7353792661,39.3197191432,0 45.7399784686,39.4739991318,0 45.2981449725,39.471751207,0 45.0019873391,39.740003567,0 44.7939896991,39.7130026312,0 44.4000085793,40.0050003118,0 43.656436395,40.2535639512,0 43.752657912,40.7402009141,0 43.5827458026,41.0921432562,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",Armenia,ARM,20,Armenia,ARM,Sovereigncountry,Armenia,ARM,Armenia,ARM,Armenia,ARM,RepublicofArmenia,,Armenia,10,2967004,18770,AM,51,3.5,0,1500,21.3
